Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
183909,Fallout 4,PS4,2015.0,Critic_Count,58.0
183910,Fallout 4,XOne,2015.0,Critic_Count,39.0
183911,Fallout 4,PC,2015.0,Critic_Count,38.0
183912,Spore,PC,2008.0,Critic_Count,75.0
183913,Left 4 Dead 2,X360,2009.0,Critic_Count,76.0
183914,Left 4 Dead 2,PC,2009.0,Critic_Count,55.0
183915,Left 4 Dead,X360,2008.0,Critic_Count,67.0
183916,Left 4 Dead,PC,2008.0,Critic_Count,58.0
183917,Tomb Raider,PS,1996.0,Critic_Count,13.0
183918,Tomb Raider,PC,1996.0,Critic_Count,18.0
183919,BioShock Infinite,X360,2013.0,Critic_Count,33.0
183920,BioShock Infinite,PS3,2013.0,Critic_Count,27.0
183921,BioShock Infinite,PC,2013.0,Critic_Count,68.0
183922,Grand Theft Auto IV,X360,2008.0,Critic_Count,86.0
183923,Grand Theft Auto IV,PS3,2008.0,Critic_Count,64.0
183924,Grand Theft Auto IV,PC,2008.0,Critic_Count,40.0
183925,BioShock,X360,2007.0,Critic_Count,88.0
183926,BioShock,PS3,2008.0,Critic_Count,51.0
183927,BioShock,PC,2007.0,Critic_Count,44.0
183928,Ultra Street Fighter IV,PS4,2015.0,Critic_Count,28.0
183929,Sid Meier's Civilization V,PC,2010.0,Critic_Count,70.0
183930,L.A. Noire,PS3,2011.0,Critic_Count,78.0
183931,L.A. Noire,X360,2011.0,Critic_Count,83.0
183932,7 Days to Die,PS4,2016.0,Critic_Count,16.0
183933,7 Days to Die,XOne,2016.0,Critic_Count,17.0
183934,Company of Heroes,PC,2006.0,Critic_Count,55.0
183935,Assassin's Creed II,PS3,2009.0,Critic_Count,70.0
183936,Assassin's Creed II,X360,2009.0,Critic_Count,82.0
183937,Assassin's Creed II,PC,2010.0,Critic_Count,22.0
183938,Grand Theft Auto V,PS3,2013.0,Critic_Count,50.0
183939,Grand Theft Auto V,X360,2013.0,Critic_Count,58.0
183940,Grand Theft Auto V,PS4,2014.0,Critic_Count,66.0
