Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
167190,Fallout 4,PS4,2015.0,Critic_Score,87.0
167191,Fallout 4,XOne,2015.0,Critic_Score,88.0
167192,Fallout 4,PC,2015.0,Critic_Score,84.0
167193,Spore,PC,2008.0,Critic_Score,84.0
167194,Left 4 Dead 2,X360,2009.0,Critic_Score,89.0
167195,Left 4 Dead 2,PC,2009.0,Critic_Score,89.0
167196,Left 4 Dead,X360,2008.0,Critic_Score,89.0
167197,Left 4 Dead,PC,2008.0,Critic_Score,89.0
167198,Tomb Raider,PS,1996.0,Critic_Score,91.0
167199,Tomb Raider,PC,1996.0,Critic_Score,86.0
167200,BioShock Infinite,X360,2013.0,Critic_Score,93.0
167201,BioShock Infinite,PS3,2013.0,Critic_Score,94.0
167202,BioShock Infinite,PC,2013.0,Critic_Score,94.0
167203,Grand Theft Auto IV,X360,2008.0,Critic_Score,98.0
167204,Grand Theft Auto IV,PS3,2008.0,Critic_Score,98.0
167205,Grand Theft Auto IV,PC,2008.0,Critic_Score,90.0
167206,BioShock,X360,2007.0,Critic_Score,96.0
167207,BioShock,PS3,2008.0,Critic_Score,94.0
167208,BioShock,PC,2007.0,Critic_Score,96.0
167209,Ultra Street Fighter IV,PS4,2015.0,Critic_Score,71.0
167210,Sid Meier's Civilization V,PC,2010.0,Critic_Score,90.0
167211,L.A. Noire,PS3,2011.0,Critic_Score,89.0
167212,L.A. Noire,X360,2011.0,Critic_Score,89.0
167213,7 Days to Die,PS4,2016.0,Critic_Score,45.0
167214,7 Days to Die,XOne,2016.0,Critic_Score,35.0
167215,Company of Heroes,PC,2006.0,Critic_Score,93.0
167216,Assassin's Creed II,PS3,2009.0,Critic_Score,91.0
167217,Assassin's Creed II,X360,2009.0,Critic_Score,90.0
167218,Assassin's Creed II,PC,2010.0,Critic_Score,86.0
167219,Grand Theft Auto V,PS3,2013.0,Critic_Score,97.0
167220,Grand Theft Auto V,X360,2013.0,Critic_Score,97.0
167221,Grand Theft Auto V,PS4,2014.0,Critic_Score,97.0
167222,Grand Theft Auto V,XOne,2014.0,Critic_Score,97.0
167223,Grand Theft Auto V,PC,2015.0,Critic_Score,96.0
167224,Far Cry 3,PS3,2012.0,Critic_Score,90.0
167225,Far Cry 3,X360,2012.0,Critic_Score,91.0
167226,Far Cry 3,PC,2012.0,Critic_Score,88.0
167227,Rocket League,PS4,2016.0,Critic_Score,85.0
167228,Rocket League,XOne,2016.0,Critic_Score,87.0
167229,Rocket League,PC,2016.0,Critic_Score,86.0
167230,Far Cry 4,PS4,2014.0,Critic_Score,85.0
167231,Far Cry 4,XOne,2014.0,Critic_Score,82.0
167234,Far Cry 4,PC,2014.0,Critic_Score,80.0
167235,Dying Light,PS4,2015.0,Critic_Score,74.0
167236,Dying Light,XOne,2015.0,Critic_Score,74.0
