Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
234066,Fallout 4,PS4,2015.0,Developer,Bethesda Game Studios
234067,Fallout 4,XOne,2015.0,Developer,Bethesda Game Studios
234068,Fallout 4,PC,2015.0,Developer,Bethesda Game Studios
234069,Spore,PC,2008.0,Developer,Maxis
234070,Left 4 Dead 2,X360,2009.0,Developer,Valve Software
234071,Left 4 Dead 2,PC,2009.0,Developer,Valve Software
234072,Left 4 Dead,X360,2008.0,Developer,Certain Affinity
234073,Left 4 Dead,PC,2008.0,Developer,Valve Software
234074,Tomb Raider,PS,1996.0,Developer,Core Design Ltd.
234075,Tomb Raider,PC,1996.0,Developer,"Crystal Dynamics, Nixxes Software"
234076,BioShock Infinite,X360,2013.0,Developer,Irrational Games
234077,BioShock Infinite,PS3,2013.0,Developer,Irrational Games
234078,BioShock Infinite,PC,2013.0,Developer,Irrational Games
234079,Grand Theft Auto IV,X360,2008.0,Developer,Rockstar North
234080,Grand Theft Auto IV,PS3,2008.0,Developer,Rockstar North
234081,Grand Theft Auto IV,PC,2008.0,Developer,Rockstar Toronto
234082,BioShock,X360,2007.0,Developer,"Irrational Games, 2K Marin"
234083,BioShock,PS3,2008.0,Developer,"Digital Extremes, 2K Marin"
234084,BioShock,PC,2007.0,Developer,"Irrational Games, 2K Marin"
234085,Ultra Street Fighter IV,PS4,2015.0,Developer,Other Ocean Interactive
234086,Sid Meier's Civilization V,PC,2010.0,Developer,Firaxis Games
234087,L.A. Noire,PS3,2011.0,Developer,Team Bondi
234088,L.A. Noire,X360,2011.0,Developer,Team Bondi
234089,7 Days to Die,PS4,2016.0,Developer,The Fun Pimps Entertainment LLC
234090,7 Days to Die,XOne,2016.0,Developer,The Fun Pimps Entertainment LLC
234091,Company of Heroes,PC,2006.0,Developer,Relic
234092,Assassin's Creed II,PS3,2009.0,Developer,Ubisoft Montreal
234093,Assassin's Creed II,X360,2009.0,Developer,Ubisoft Montreal
234094,Assassin's Creed II,PC,2010.0,Developer,Ubisoft Montreal
234095,Grand Theft Auto V,PS3,2013.0,Developer,Rockstar North
234096,Grand Theft Auto V,X360,2013.0,Developer,Rockstar North
234097,Grand Theft Auto V,PS4,2014.0,Developer,Rockstar North
234098,Grand Theft Auto V,XOne,2014.0,Developer,Rockstar North
234099,Grand Theft Auto V,PC,2015.0,Developer,Rockstar North
234100,Far Cry 3,PS3,2012.0,Developer,Ubisoft Montreal
234101,Far Cry 3,X360,2012.0,Developer,Ubisoft Montreal
234102,Far Cry 3,PC,2012.0,Developer,Ubisoft Montreal
234103,Rocket League,PS4,2016.0,Developer,Psyonix
234104,Rocket League,XOne,2016.0,Developer,Psyonix
234105,Rocket League,PC,2016.0,Developer,Psyonix
234106,Far Cry 4,PS4,2014.0,Developer,Ubisoft Montreal
234107,Far Cry 4,XOne,2014.0,Developer,Ubisoft Montreal
234108,Far Cry 4,PS3,2014.0,Developer,Ubisoft Montreal
234109,Far Cry 4,X360,2014.0,Developer,Ubisoft Montreal
234110,Far Cry 4,PC,2014.0,Developer,Ubisoft Montreal
234111,Dying Light,PS4,2015.0,Developer,Techland
234112,Dying Light,XOne,2015.0,Developer,Techland
234113,Dying Light,PC,2015.0,Developer,Techland
234114,Just Cause 2,PS3,2010.0,Developer,Avalanche Studios
