Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
100314,Fallout 4,PS4,2015.0,EU_Sales,3.27
100315,Fallout 4,XOne,2015.0,EU_Sales,1.32
100316,Fallout 4,PC,2015.0,EU_Sales,0.67
100317,Spore,PC,2008.0,EU_Sales,1.06
100318,Left 4 Dead 2,X360,2009.0,EU_Sales,0.87
100319,Left 4 Dead 2,PC,2009.0,EU_Sales,0.32
100320,Left 4 Dead,X360,2008.0,EU_Sales,0.49
100321,Left 4 Dead,PC,2008.0,EU_Sales,0.02
100322,Tomb Raider,PS,1996.0,EU_Sales,1.97
100323,Tomb Raider,PC,1996.0,EU_Sales,0.07
100324,BioShock Infinite,X360,2013.0,EU_Sales,0.54
100325,BioShock Infinite,PS3,2013.0,EU_Sales,0.65
100326,BioShock Infinite,PC,2013.0,EU_Sales,0.3
100327,Grand Theft Auto IV,X360,2008.0,EU_Sales,3.07
100328,Grand Theft Auto IV,PS3,2008.0,EU_Sales,3.69
100329,Grand Theft Auto IV,PC,2008.0,EU_Sales,0.79
100330,BioShock,X360,2007.0,EU_Sales,0.85
100331,BioShock,PS3,2008.0,EU_Sales,0.46
100332,BioShock,PC,2007.0,EU_Sales,0.39
100333,Ultra Street Fighter IV,PS4,2015.0,EU_Sales,0.08
100334,Sid Meier's Civilization V,PC,2010.0,EU_Sales,0.52
100335,L.A. Noire,PS3,2011.0,EU_Sales,1.29
100336,L.A. Noire,X360,2011.0,EU_Sales,0.92
100337,7 Days to Die,PS4,2016.0,EU_Sales,0.08
100338,7 Days to Die,XOne,2016.0,EU_Sales,0.02
100339,Company of Heroes,PC,2006.0,EU_Sales,0.04
100340,Assassin's Creed II,PS3,2009.0,EU_Sales,1.93
100341,Assassin's Creed II,X360,2009.0,EU_Sales,1.55
100342,Assassin's Creed II,PC,2010.0,EU_Sales,0.45
100343,Grand Theft Auto V,PS3,2013.0,EU_Sales,9.09
100344,Grand Theft Auto V,X360,2013.0,EU_Sales,5.14
100345,Grand Theft Auto V,PS4,2014.0,EU_Sales,6.31
100346,Grand Theft Auto V,XOne,2014.0,EU_Sales,2.19
100347,Grand Theft Auto V,PC,2015.0,EU_Sales,0.69
100348,Far Cry 3,PS3,2012.0,EU_Sales,1.7
100349,Far Cry 3,X360,2012.0,EU_Sales,1.32
100350,Far Cry 3,PC,2012.0,EU_Sales,0.62
100351,Rocket League,PS4,2016.0,EU_Sales,0.28
100352,Rocket League,XOne,2016.0,EU_Sales,0.17
100353,Rocket League,PC,2016.0,EU_Sales,0.04
100354,Far Cry 4,PS4,2014.0,EU_Sales,2.18
100355,Far Cry 4,XOne,2014.0,EU_Sales,0.69
100356,Far Cry 4,PS3,2014.0,EU_Sales,0.68
100357,Far Cry 4,X360,2014.0,EU_Sales,0.37
100358,Far Cry 4,PC,2014.0,EU_Sales,0.44
100359,Dying Light,PS4,2015.0,EU_Sales,0.67
100360,Dying Light,XOne,2015.0,EU_Sales,0.3
