Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
50157,Fallout 4,PS4,2015.0,Genre,Role-Playing
50158,Fallout 4,XOne,2015.0,Genre,Role-Playing
50159,Fallout 4,PC,2015.0,Genre,Role-Playing
50160,Spore,PC,2008.0,Genre,Strategy
50161,Left 4 Dead 2,X360,2009.0,Genre,Shooter
50162,Left 4 Dead 2,PC,2009.0,Genre,Shooter
50163,Left 4 Dead,X360,2008.0,Genre,Shooter
50164,Left 4 Dead,PC,2008.0,Genre,Shooter
50165,Tomb Raider,PS,1996.0,Genre,Action
50166,Tomb Raider,PC,1996.0,Genre,Action
50167,BioShock Infinite,X360,2013.0,Genre,Shooter
50168,BioShock Infinite,PS3,2013.0,Genre,Shooter
50169,BioShock Infinite,PC,2013.0,Genre,Shooter
50170,Grand Theft Auto IV,X360,2008.0,Genre,Action
50171,Grand Theft Auto IV,PS3,2008.0,Genre,Action
50172,Grand Theft Auto IV,PC,2008.0,Genre,Action
50173,BioShock,X360,2007.0,Genre,Shooter
50174,BioShock,PS3,2008.0,Genre,Shooter
50175,BioShock,PC,2007.0,Genre,Shooter
50176,Ultra Street Fighter IV,PS4,2015.0,Genre,Fighting
50177,Sid Meier's Civilization V,PC,2010.0,Genre,Strategy
50178,L.A. Noire,PS3,2011.0,Genre,Adventure
50179,L.A. Noire,X360,2011.0,Genre,Adventure
50180,7 Days to Die,PS4,2016.0,Genre,Action
50181,7 Days to Die,XOne,2016.0,Genre,Action
50182,Company of Heroes,PC,2006.0,Genre,Strategy
50183,Assassin's Creed II,PS3,2009.0,Genre,Action
50184,Assassin's Creed II,X360,2009.0,Genre,Action
50185,Assassin's Creed II,PC,2010.0,Genre,Action
50186,Grand Theft Auto V,PS3,2013.0,Genre,Action
50187,Grand Theft Auto V,X360,2013.0,Genre,Action
50188,Grand Theft Auto V,PS4,2014.0,Genre,Action
50189,Grand Theft Auto V,XOne,2014.0,Genre,Action
50190,Grand Theft Auto V,PC,2015.0,Genre,Action
50191,Far Cry 3,PS3,2012.0,Genre,Shooter
50192,Far Cry 3,X360,2012.0,Genre,Shooter
50193,Far Cry 3,PC,2012.0,Genre,Shooter
50194,Rocket League,PS4,2016.0,Genre,Sports
50195,Rocket League,XOne,2016.0,Genre,Sports
50196,Rocket League,PC,2016.0,Genre,Sports
50197,Far Cry 4,PS4,2014.0,Genre,Shooter
50198,Far Cry 4,XOne,2014.0,Genre,Shooter
50199,Far Cry 4,PS3,2014.0,Genre,Shooter
50200,Far Cry 4,X360,2014.0,Genre,Shooter
50201,Far Cry 4,PC,2014.0,Genre,Shooter
50202,Dying Light,PS4,2015.0,Genre,Action
50203,Dying Light,XOne,2015.0,Genre,Action
50204,Dying Light,PC,2015.0,Genre,Action
50205,Just Cause 2,PS3,2010.0,Genre,Action
50206,Just Cause 2,X360,2010.0,Genre,Action
50207,Just Cause 2,PC,2010.0,Genre,Action
50208,Mirror's Edge,X360,2008.0,Genre,Platform
50209,Mirror's Edge,PS3,2008.0,Genre,Platform
50210,Mirror's Edge,PC,2009.0,Genre,Platform
50211,Portal 2,X360,2011.0,Genre,Shooter
50212,Portal 2,PS3,2011.0,Genre,Shooter
50213,Portal 2,PC,2011.0,Genre,Shooter
50214,Tropico 4,X360,,Genre,Strategy
50215,Tropico 4,PC,2011.0,Genre,Strategy
50216,F.E.A.R.,PS3,2007.0,Genre,Shooter
50217,F.E.A.R.,X360,2006.0,Genre,Shooter
50218,Sleeping Dogs,PS3,2012.0,Genre,Action
50219,Sleeping Dogs,X360,2012.0,Genre,Action
50220,Sleeping Dogs,PS4,2014.0,Genre,Action
50221,Sleeping Dogs,XOne,2014.0,Genre,Action
50222,Sleeping Dogs,PC,2012.0,Genre,Action
50223,Saints Row IV,X360,2013.0,Genre,Action
50224,Saints Row IV,PS3,2013.0,Genre,Action
50225,Saints Row IV,PS4,2015.0,Genre,Action
50226,Saints Row IV,XOne,2015.0,Genre,Action
50227,Saints Row IV,PC,2013.0,Genre,Action
50228,Half-Life 2,PC,2004.0,Genre,Shooter
50229,Half-Life 2,XB,2005.0,Genre,Shooter
50230,The Talos Principle,PS4,2015.0,Genre,Puzzle
50231,DiRT 3,PS3,2011.0,Genre,Racing
50232,DiRT 3,X360,2011.0,Genre,Racing
50233,DiRT 3,PC,2011.0,Genre,Racing
50234,Metro 2033,X360,2010.0,Genre,Shooter
50235,Metro 2033,PC,2010.0,Genre,Shooter
50236,Assassin's Creed III,PS3,2012.0,Genre,Action
50237,Assassin's Creed III,X360,2012.0,Genre,Action
50238,Assassin's Creed III,PC,2012.0,Genre,Action
50239,Assassin's Creed III,WiiU,2012.0,Genre,Action
50240,Sniper Elite 3,PS4,2014.0,Genre,Shooter
50241,Sniper Elite 3,XOne,2014.0,Genre,Shooter
50242,Sniper Elite 3,X360,2014.0,Genre,Shooter
50243,Sniper Elite 3,PS3,2014.0,Genre,Shooter
50244,Dishonored,X360,2012.0,Genre,Action
50245,Dishonored,PS3,2012.0,Genre,Action
50246,Dishonored,PC,2012.0,Genre,Action
50247,Dishonored,PS4,2015.0,Genre,Action
50248,Dishonored,XOne,2015.0,Genre,Action
50249,Dead Space,PS3,2008.0,Genre,Action
50250,Dead Space,X360,2008.0,Genre,Action
50251,Dead Space,PC,2008.0,Genre,Action
50252,The Binding of Isaac,PC,2012.0,Genre,Action
50253,LEGO The Lord of the Rings,X360,2012.0,Genre,Action
50254,LEGO The Lord of the Rings,PS3,2012.0,Genre,Action
50255,LEGO The Lord of the Rings,Wii,2012.0,Genre,Action
50256,LEGO The Lord of the Rings,3DS,2012.0,Genre,Action
50257,LEGO The Lord of the Rings,PSV,2012.0,Genre,Action
50258,LEGO The Lord of the Rings,PC,2012.0,Genre,Action
50259,LEGO The Lord of the Rings,DS,2012.0,Genre,Action
50260,Goat Simulator,XOne,2016.0,Genre,Simulation
50261,Mass Effect,X360,2007.0,Genre,Role-Playing
50262,Mass Effect,PC,2008.0,Genre,Role-Playing
50263,DiRT Showdown,X360,2012.0,Genre,Racing
50264,DiRT Showdown,PS3,2012.0,Genre,Racing
50265,Borderlands 2,X360,2012.0,Genre,Shooter
50266,Borderlands 2,PS3,2012.0,Genre,Shooter
50267,Borderlands 2,PC,2012.0,Genre,Shooter
50268,Borderlands 2,PSV,2014.0,Genre,Shooter
