Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
150471,Fallout 4,PS4,2015.0,Global_Sales,7.16
150472,Fallout 4,XOne,2015.0,Global_Sales,4.22
150473,Fallout 4,PC,2015.0,Global_Sales,1.29
150474,Spore,PC,2008.0,Global_Sales,1.17
150475,Left 4 Dead 2,X360,2009.0,Global_Sales,3.97
150476,Left 4 Dead 2,PC,2009.0,Global_Sales,0.36
150477,Left 4 Dead,X360,2008.0,Global_Sales,3.51
150478,Left 4 Dead,PC,2008.0,Global_Sales,0.02
150479,Tomb Raider,PS,1996.0,Global_Sales,4.63
150480,Tomb Raider,PC,1996.0,Global_Sales,1.03
150481,BioShock Infinite,X360,2013.0,Global_Sales,1.93
150482,BioShock Infinite,PS3,2013.0,Global_Sales,1.69
150483,BioShock Infinite,PC,2013.0,Global_Sales,0.66
150484,Grand Theft Auto IV,X360,2008.0,Global_Sales,11.01
150485,Grand Theft Auto IV,PS3,2008.0,Global_Sales,10.5
150486,Grand Theft Auto IV,PC,2008.0,Global_Sales,0.88
150487,BioShock,X360,2007.0,Global_Sales,2.83
150488,BioShock,PS3,2008.0,Global_Sales,1.42
150489,BioShock,PC,2007.0,Global_Sales,0.41
150490,Ultra Street Fighter IV,PS4,2015.0,Global_Sales,0.1
150491,Sid Meier's Civilization V,PC,2010.0,Global_Sales,1.68
150492,L.A. Noire,PS3,2011.0,Global_Sales,3.17
150493,L.A. Noire,X360,2011.0,Global_Sales,2.7
150494,7 Days to Die,PS4,2016.0,Global_Sales,0.14
150495,7 Days to Die,XOne,2016.0,Global_Sales,0.05
150496,Company of Heroes,PC,2006.0,Global_Sales,0.05
150497,Assassin's Creed II,PS3,2009.0,Global_Sales,5.55
150498,Assassin's Creed II,X360,2009.0,Global_Sales,5.26
150499,Assassin's Creed II,PC,2010.0,Global_Sales,0.55
150500,Grand Theft Auto V,PS3,2013.0,Global_Sales,21.04
150501,Grand Theft Auto V,X360,2013.0,Global_Sales,16.27
150502,Grand Theft Auto V,PS4,2014.0,Global_Sales,12.61
150503,Grand Theft Auto V,XOne,2014.0,Global_Sales,5.48
150504,Grand Theft Auto V,PC,2015.0,Global_Sales,1.17
150505,Far Cry 3,PS3,2012.0,Global_Sales,3.35
150506,Far Cry 3,X360,2012.0,Global_Sales,3.0
150507,Far Cry 3,PC,2012.0,Global_Sales,0.96
150508,Rocket League,PS4,2016.0,Global_Sales,0.37
150509,Rocket League,XOne,2016.0,Global_Sales,0.24
150510,Rocket League,PC,2016.0,Global_Sales,0.06
150511,Far Cry 4,PS4,2014.0,Global_Sales,4.04
150512,Far Cry 4,XOne,2014.0,Global_Sales,1.63
150513,Far Cry 4,PS3,2014.0,Global_Sales,1.29
150514,Far Cry 4,X360,2014.0,Global_Sales,0.9
150515,Far Cry 4,PC,2014.0,Global_Sales,0.63
150516,Dying Light,PS4,2015.0,Global_Sales,2.09
150517,Dying Light,XOne,2015.0,Global_Sales,1.29
150518,Dying Light,PC,2015.0,Global_Sales,0.2
