Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
117033,Fallout 4,PS4,2015.0,JP_Sales,0.24
117034,Fallout 4,XOne,2015.0,JP_Sales,0.01
117035,Fallout 4,PC,2015.0,JP_Sales,0.0
117036,Spore,PC,2008.0,JP_Sales,0.0
117037,Left 4 Dead 2,X360,2009.0,JP_Sales,0.05
117038,Left 4 Dead 2,PC,2009.0,JP_Sales,0.0
117039,Left 4 Dead,X360,2008.0,JP_Sales,0.05
117040,Left 4 Dead,PC,2008.0,JP_Sales,0.0
117041,Tomb Raider,PS,1996.0,JP_Sales,0.13
117042,Tomb Raider,PC,1996.0,JP_Sales,0.0
117043,BioShock Infinite,X360,2013.0,JP_Sales,0.02
117044,BioShock Infinite,PS3,2013.0,JP_Sales,0.04
117045,BioShock Infinite,PC,2013.0,JP_Sales,0.0
117046,Grand Theft Auto IV,X360,2008.0,JP_Sales,0.14
117047,Grand Theft Auto IV,PS3,2008.0,JP_Sales,0.44
117048,Grand Theft Auto IV,PC,2008.0,JP_Sales,0.0
117049,BioShock,X360,2007.0,JP_Sales,0.05
117050,BioShock,PS3,2008.0,JP_Sales,0.01
117051,BioShock,PC,2007.0,JP_Sales,0.0
117052,Ultra Street Fighter IV,PS4,2015.0,JP_Sales,0.0
117053,Sid Meier's Civilization V,PC,2010.0,JP_Sales,0.0
117054,L.A. Noire,PS3,2011.0,JP_Sales,0.12
117055,L.A. Noire,X360,2011.0,JP_Sales,0.02
117056,7 Days to Die,PS4,2016.0,JP_Sales,0.0
117057,7 Days to Die,XOne,2016.0,JP_Sales,0.0
117058,Company of Heroes,PC,2006.0,JP_Sales,0.0
117059,Assassin's Creed II,PS3,2009.0,JP_Sales,0.21
117060,Assassin's Creed II,X360,2009.0,JP_Sales,0.08
117061,Assassin's Creed II,PC,2010.0,JP_Sales,0.0
117062,Grand Theft Auto V,PS3,2013.0,JP_Sales,0.98
117063,Grand Theft Auto V,X360,2013.0,JP_Sales,0.06
117064,Grand Theft Auto V,PS4,2014.0,JP_Sales,0.38
117065,Grand Theft Auto V,XOne,2014.0,JP_Sales,0.0
117066,Grand Theft Auto V,PC,2015.0,JP_Sales,0.0
117067,Far Cry 3,PS3,2012.0,JP_Sales,0.1
117068,Far Cry 3,X360,2012.0,JP_Sales,0.02
117069,Far Cry 3,PC,2012.0,JP_Sales,0.0
117070,Rocket League,PS4,2016.0,JP_Sales,0.0
117071,Rocket League,XOne,2016.0,JP_Sales,0.0
117072,Rocket League,PC,2016.0,JP_Sales,0.0
117073,Far Cry 4,PS4,2014.0,JP_Sales,0.1
117074,Far Cry 4,XOne,2014.0,JP_Sales,0.01
117075,Far Cry 4,PS3,2014.0,JP_Sales,0.08
117076,Far Cry 4,X360,2014.0,JP_Sales,0.0
117077,Far Cry 4,PC,2014.0,JP_Sales,0.0
117078,Dying Light,PS4,2015.0,JP_Sales,0.12
117079,Dying Light,XOne,2015.0,JP_Sales,0.01
117080,Dying Light,PC,2015.0,JP_Sales,0.0
117081,Just Cause 2,PS3,2010.0,JP_Sales,0.06
117082,Just Cause 2,X360,2010.0,JP_Sales,0.02
117083,Just Cause 2,PC,2010.0,JP_Sales,0.0
117084,Mirror's Edge,X360,2008.0,JP_Sales,0.01
117085,Mirror's Edge,PS3,2008.0,JP_Sales,0.02
117086,Mirror's Edge,PC,2009.0,JP_Sales,0.0
117087,Portal 2,X360,2011.0,JP_Sales,0.01
