Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
0,Fallout 4,PS4,2015.0,MeanPlaytime,64.44790419161679
1,Fallout 4,XOne,2015.0,MeanPlaytime,64.44790419161679
2,Fallout 4,PC,2015.0,MeanPlaytime,64.44790419161679
3,Spore,PC,2008.0,MeanPlaytime,29.42413793103449
4,Left 4 Dead 2,X360,2009.0,MeanPlaytime,41.943445692883884
5,Left 4 Dead 2,PC,2009.0,MeanPlaytime,41.943445692883884
6,Left 4 Dead,X360,2008.0,MeanPlaytime,42.45049019607844
7,Left 4 Dead,PC,2008.0,MeanPlaytime,42.45049019607844
8,Tomb Raider,PS,1996.0,MeanPlaytime,15.609313725490196
9,Tomb Raider,PC,1996.0,MeanPlaytime,15.609313725490196
10,BioShock Infinite,X360,2013.0,MeanPlaytime,17.40141509433963
11,BioShock Infinite,PS3,2013.0,MeanPlaytime,17.40141509433963
12,BioShock Infinite,PC,2013.0,MeanPlaytime,17.40141509433963
13,Grand Theft Auto IV,X360,2008.0,MeanPlaytime,20.735840707964602
14,Grand Theft Auto IV,PS3,2008.0,MeanPlaytime,20.735840707964602
15,Grand Theft Auto IV,PC,2008.0,MeanPlaytime,20.735840707964602
16,BioShock,X360,2007.0,MeanPlaytime,7.616783216783215
17,BioShock,PS3,2008.0,MeanPlaytime,7.616783216783215
18,BioShock,PC,2007.0,MeanPlaytime,7.616783216783215
19,Ultra Street Fighter IV,PS4,2015.0,MeanPlaytime,36.5075
20,Sid Meier's Civilization V,PC,2010.0,MeanPlaytime,180.18285198555955
21,L.A. Noire,PS3,2011.0,MeanPlaytime,15.701388888888895
22,L.A. Noire,X360,2011.0,MeanPlaytime,15.701388888888895
23,7 Days to Die,PS4,2016.0,MeanPlaytime,41.58673469387756
24,7 Days to Die,XOne,2016.0,MeanPlaytime,41.58673469387756
25,Company of Heroes,PC,2006.0,MeanPlaytime,9.841935483870966
26,Assassin's Creed II,PS3,2009.0,MeanPlaytime,27.9
27,Assassin's Creed II,X360,2009.0,MeanPlaytime,27.9
28,Assassin's Creed II,PC,2010.0,MeanPlaytime,27.9
29,Grand Theft Auto V,PS3,2013.0,MeanPlaytime,85.34089219330859
30,Grand Theft Auto V,X360,2013.0,MeanPlaytime,85.34089219330859
31,Grand Theft Auto V,PS4,2014.0,MeanPlaytime,85.34089219330859
32,Grand Theft Auto V,XOne,2014.0,MeanPlaytime,85.34089219330859
33,Grand Theft Auto V,PC,2015.0,MeanPlaytime,85.34089219330859
34,Far Cry 3,PS3,2012.0,MeanPlaytime,28.044198895027634
35,Far Cry 3,X360,2012.0,MeanPlaytime,28.044198895027634
36,Far Cry 3,PC,2012.0,MeanPlaytime,28.044198895027634
37,Rocket League,PS4,2016.0,MeanPlaytime,52.53154362416109
38,Rocket League,XOne,2016.0,MeanPlaytime,52.53154362416109
39,Rocket League,PC,2016.0,MeanPlaytime,52.53154362416109
40,Far Cry 4,PS4,2014.0,MeanPlaytime,35.76285714285715
41,Far Cry 4,XOne,2014.0,MeanPlaytime,35.76285714285715
42,Far Cry 4,PS3,2014.0,MeanPlaytime,35.76285714285715
43,Far Cry 4,X360,2014.0,MeanPlaytime,35.76285714285715
44,Far Cry 4,PC,2014.0,MeanPlaytime,35.76285714285715
45,Dying Light,PS4,2015.0,MeanPlaytime,27.65749999999999
46,Dying Light,XOne,2015.0,MeanPlaytime,27.65749999999999
47,Dying Light,PC,2015.0,MeanPlaytime,27.65749999999999
48,Just Cause 2,PS3,2010.0,MeanPlaytime,18.588709677419356
49,Just Cause 2,X360,2010.0,MeanPlaytime,18.588709677419356
50,Just Cause 2,PC,2010.0,MeanPlaytime,18.588709677419356
51,Mirror's Edge,X360,2008.0,MeanPlaytime,4.48235294117647
52,Mirror's Edge,PS3,2008.0,MeanPlaytime,4.48235294117647
53,Mirror's Edge,PC,2009.0,MeanPlaytime,4.48235294117647
54,Portal 2,X360,2011.0,MeanPlaytime,20.126048565121405
55,Portal 2,PS3,2011.0,MeanPlaytime,20.126048565121405
56,Portal 2,PC,2011.0,MeanPlaytime,20.126048565121405
57,Tropico 4,X360,,MeanPlaytime,25.39117647058824
58,Tropico 4,PC,2011.0,MeanPlaytime,25.39117647058824
59,F.E.A.R.,PS3,2007.0,MeanPlaytime,5.858333333333332
60,F.E.A.R.,X360,2006.0,MeanPlaytime,5.858333333333332
61,Sleeping Dogs,PS3,2012.0,MeanPlaytime,23.128235294117644
62,Sleeping Dogs,X360,2012.0,MeanPlaytime,23.128235294117644
63,Sleeping Dogs,PS4,2014.0,MeanPlaytime,23.128235294117644
64,Sleeping Dogs,XOne,2014.0,MeanPlaytime,23.128235294117644
65,Sleeping Dogs,PC,2012.0,MeanPlaytime,23.128235294117644
66,Saints Row IV,X360,2013.0,MeanPlaytime,19.868217054263567
67,Saints Row IV,PS3,2013.0,MeanPlaytime,19.868217054263567
68,Saints Row IV,PS4,2015.0,MeanPlaytime,19.868217054263567
69,Saints Row IV,XOne,2015.0,MeanPlaytime,19.868217054263567
70,Saints Row IV,PC,2013.0,MeanPlaytime,19.868217054263567
71,Half-Life 2,PC,2004.0,MeanPlaytime,11.967134831460674
72,Half-Life 2,XB,2005.0,MeanPlaytime,11.967134831460674
73,The Talos Principle,PS4,2015.0,MeanPlaytime,17.754166666666666
74,DiRT 3,PS3,2011.0,MeanPlaytime,14.12040816326531
75,DiRT 3,X360,2011.0,MeanPlaytime,14.12040816326531
76,DiRT 3,PC,2011.0,MeanPlaytime,14.12040816326531
77,Metro 2033,X360,2010.0,MeanPlaytime,8.946857142857143
78,Metro 2033,PC,2010.0,MeanPlaytime,8.946857142857143
79,Assassin's Creed III,PS3,2012.0,MeanPlaytime,45.45357142857142
80,Assassin's Creed III,X360,2012.0,MeanPlaytime,45.45357142857142
81,Assassin's Creed III,PC,2012.0,MeanPlaytime,45.45357142857142
82,Assassin's Creed III,WiiU,2012.0,MeanPlaytime,45.45357142857142
83,Sniper Elite 3,PS4,2014.0,MeanPlaytime,21.113207547169814
84,Sniper Elite 3,XOne,2014.0,MeanPlaytime,21.113207547169814
