Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
83595,Fallout 4,PS4,2015.0,NA_Sales,2.53
83596,Fallout 4,XOne,2015.0,NA_Sales,2.51
83597,Fallout 4,PC,2015.0,NA_Sales,0.51
83598,Spore,PC,2008.0,NA_Sales,0.03
83599,Left 4 Dead 2,X360,2009.0,NA_Sales,2.67
83600,Left 4 Dead 2,PC,2009.0,NA_Sales,0.0
83601,Left 4 Dead,X360,2008.0,NA_Sales,2.66
83602,Left 4 Dead,PC,2008.0,NA_Sales,0.0
83603,Tomb Raider,PS,1996.0,NA_Sales,2.29
83604,Tomb Raider,PC,1996.0,NA_Sales,0.96
83605,BioShock Infinite,X360,2013.0,NA_Sales,1.22
83606,BioShock Infinite,PS3,2013.0,NA_Sales,0.72
83607,BioShock Infinite,PC,2013.0,NA_Sales,0.29
83608,Grand Theft Auto IV,X360,2008.0,NA_Sales,6.76
83609,Grand Theft Auto IV,PS3,2008.0,NA_Sales,4.76
83610,Grand Theft Auto IV,PC,2008.0,NA_Sales,0.01
83611,BioShock,X360,2007.0,NA_Sales,1.65
83612,BioShock,PS3,2008.0,NA_Sales,0.75
83613,BioShock,PC,2007.0,NA_Sales,0.01
83614,Ultra Street Fighter IV,PS4,2015.0,NA_Sales,0.0
83615,Sid Meier's Civilization V,PC,2010.0,NA_Sales,0.98
83616,L.A. Noire,PS3,2011.0,NA_Sales,1.27
83617,L.A. Noire,X360,2011.0,NA_Sales,1.52
83618,7 Days to Die,PS4,2016.0,NA_Sales,0.04
83619,7 Days to Die,XOne,2016.0,NA_Sales,0.03
83620,Company of Heroes,PC,2006.0,NA_Sales,0.0
83621,Assassin's Creed II,PS3,2009.0,NA_Sales,2.54
83622,Assassin's Creed II,X360,2009.0,NA_Sales,3.11
83623,Assassin's Creed II,PC,2010.0,NA_Sales,0.01
83624,Grand Theft Auto V,PS3,2013.0,NA_Sales,7.02
83625,Grand Theft Auto V,X360,2013.0,NA_Sales,9.66
83626,Grand Theft Auto V,PS4,2014.0,NA_Sales,3.96
83627,Grand Theft Auto V,XOne,2014.0,NA_Sales,2.81
