Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
133752,Fallout 4,PS4,2015.0,Other_Sales,1.13
133753,Fallout 4,XOne,2015.0,Other_Sales,0.38
133754,Fallout 4,PC,2015.0,Other_Sales,0.1
133755,Spore,PC,2008.0,Other_Sales,0.08
133756,Left 4 Dead 2,X360,2009.0,Other_Sales,0.38
133757,Left 4 Dead 2,PC,2009.0,Other_Sales,0.04
133758,Left 4 Dead,X360,2008.0,Other_Sales,0.3
133759,Left 4 Dead,PC,2008.0,Other_Sales,0.0
133760,Tomb Raider,PS,1996.0,Other_Sales,0.24
133761,Tomb Raider,PC,1996.0,Other_Sales,0.0
133762,BioShock Infinite,X360,2013.0,Other_Sales,0.16
133763,BioShock Infinite,PS3,2013.0,Other_Sales,0.28
133764,BioShock Infinite,PC,2013.0,Other_Sales,0.07
133765,Grand Theft Auto IV,X360,2008.0,Other_Sales,1.03
133766,Grand Theft Auto IV,PS3,2008.0,Other_Sales,1.61
133767,Grand Theft Auto IV,PC,2008.0,Other_Sales,0.07
133768,BioShock,X360,2007.0,Other_Sales,0.28
133769,BioShock,PS3,2008.0,Other_Sales,0.2
133770,BioShock,PC,2007.0,Other_Sales,0.02
133771,Ultra Street Fighter IV,PS4,2015.0,Other_Sales,0.01
133772,Sid Meier's Civilization V,PC,2010.0,Other_Sales,0.17
133773,L.A. Noire,PS3,2011.0,Other_Sales,0.49
133774,L.A. Noire,X360,2011.0,Other_Sales,0.24
133775,7 Days to Die,PS4,2016.0,Other_Sales,0.02
133776,7 Days to Die,XOne,2016.0,Other_Sales,0.0
133777,Company of Heroes,PC,2006.0,Other_Sales,0.01
133778,Assassin's Creed II,PS3,2009.0,Other_Sales,0.86
133779,Assassin's Creed II,X360,2009.0,Other_Sales,0.51
133780,Assassin's Creed II,PC,2010.0,Other_Sales,0.09
133781,Grand Theft Auto V,PS3,2013.0,Other_Sales,3.96
133782,Grand Theft Auto V,X360,2013.0,Other_Sales,1.41
133783,Grand Theft Auto V,PS4,2014.0,Other_Sales,1.97
133784,Grand Theft Auto V,XOne,2014.0,Other_Sales,0.47
133785,Grand Theft Auto V,PC,2015.0,Other_Sales,0.09
133786,Far Cry 3,PS3,2012.0,Other_Sales,0.67
133787,Far Cry 3,X360,2012.0,Other_Sales,0.28
133788,Far Cry 3,PC,2012.0,Other_Sales,0.12
133789,Rocket League,PS4,2016.0,Other_Sales,0.05
133790,Rocket League,XOne,2016.0,Other_Sales,0.02
133791,Rocket League,PC,2016.0,Other_Sales,0.0
133792,Far Cry 4,PS4,2014.0,Other_Sales,0.63
133793,Far Cry 4,XOne,2014.0,Other_Sales,0.14
133794,Far Cry 4,PS3,2014.0,Other_Sales,0.19
133795,Far Cry 4,X360,2014.0,Other_Sales,0.08
133796,Far Cry 4,PC,2014.0,Other_Sales,0.04
133797,Dying Light,PS4,2015.0,Other_Sales,0.34
133798,Dying Light,XOne,2015.0,Other_Sales,0.12
133799,Dying Light,PC,2015.0,Other_Sales,0.02
133800,Just Cause 2,PS3,2010.0,Other_Sales,0.32
133801,Just Cause 2,X360,2010.0,Other_Sales,0.17
133802,Just Cause 2,PC,2010.0,Other_Sales,0.02
133803,Mirror's Edge,X360,2008.0,Other_Sales,0.13
133804,Mirror's Edge,PS3,2008.0,Other_Sales,0.22
133805,Mirror's Edge,PC,2009.0,Other_Sales,0.01
133806,Portal 2,X360,2011.0,Other_Sales,0.17
133807,Portal 2,PS3,2011.0,Other_Sales,0.24
133808,Portal 2,PC,2011.0,Other_Sales,0.1
133809,Tropico 4,X360,,Other_Sales,0.03
133810,Tropico 4,PC,2011.0,Other_Sales,0.04
133811,F.E.A.R.,PS3,2007.0,Other_Sales,0.1
133812,F.E.A.R.,X360,2006.0,Other_Sales,0.03
133813,Sleeping Dogs,PS3,2012.0,Other_Sales,0.19
133814,Sleeping Dogs,X360,2012.0,Other_Sales,0.08
133815,Sleeping Dogs,PS4,2014.0,Other_Sales,0.07
133816,Sleeping Dogs,XOne,2014.0,Other_Sales,0.02
133817,Sleeping Dogs,PC,2012.0,Other_Sales,0.01
133818,Saints Row IV,X360,2013.0,Other_Sales,0.13
133819,Saints Row IV,PS3,2013.0,Other_Sales,0.19
133820,Saints Row IV,PS4,2015.0,Other_Sales,0.06
133821,Saints Row IV,XOne,2015.0,Other_Sales,0.02
133822,Saints Row IV,PC,2013.0,Other_Sales,0.02
133823,Half-Life 2,PC,2004.0,Other_Sales,0.0
133824,Half-Life 2,XB,2005.0,Other_Sales,0.03
133825,The Talos Principle,PS4,2015.0,Other_Sales,0.0
133826,DiRT 3,PS3,2011.0,Other_Sales,0.2
133827,DiRT 3,X360,2011.0,Other_Sales,0.08
133828,DiRT 3,PC,2011.0,Other_Sales,0.03
133829,Metro 2033,X360,2010.0,Other_Sales,0.05
133830,Metro 2033,PC,2010.0,Other_Sales,0.05
133831,Assassin's Creed III,PS3,2012.0,Other_Sales,1.12
133832,Assassin's Creed III,X360,2012.0,Other_Sales,0.44
133833,Assassin's Creed III,PC,2012.0,Other_Sales,0.12
133834,Assassin's Creed III,WiiU,2012.0,Other_Sales,0.03
