Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
66876,Fallout 4,PS4,2015.0,Publisher,Bethesda Softworks
66877,Fallout 4,XOne,2015.0,Publisher,Bethesda Softworks
66878,Fallout 4,PC,2015.0,Publisher,Bethesda Softworks
66879,Spore,PC,2008.0,Publisher,Electronic Arts
66880,Left 4 Dead 2,X360,2009.0,Publisher,Electronic Arts
66881,Left 4 Dead 2,PC,2009.0,Publisher,Valve Software
66882,Left 4 Dead,X360,2008.0,Publisher,Electronic Arts
66883,Left 4 Dead,PC,2008.0,Publisher,Electronic Arts
66884,Tomb Raider,PS,1996.0,Publisher,Eidos Interactive
66885,Tomb Raider,PC,1996.0,Publisher,Eidos Interactive
66886,BioShock Infinite,X360,2013.0,Publisher,Take-Two Interactive
66887,BioShock Infinite,PS3,2013.0,Publisher,Take-Two Interactive
66888,BioShock Infinite,PC,2013.0,Publisher,Take-Two Interactive
66889,Grand Theft Auto IV,X360,2008.0,Publisher,Take-Two Interactive
66890,Grand Theft Auto IV,PS3,2008.0,Publisher,Take-Two Interactive
66891,Grand Theft Auto IV,PC,2008.0,Publisher,Take-Two Interactive
66892,BioShock,X360,2007.0,Publisher,Take-Two Interactive
66893,BioShock,PS3,2008.0,Publisher,Take-Two Interactive
66894,BioShock,PC,2007.0,Publisher,Take-Two Interactive
66895,Ultra Street Fighter IV,PS4,2015.0,Publisher,Capcom
66896,Sid Meier's Civilization V,PC,2010.0,Publisher,Take-Two Interactive
66897,L.A. Noire,PS3,2011.0,Publisher,Take-Two Interactive
66898,L.A. Noire,X360,2011.0,Publisher,Take-Two Interactive
66899,7 Days to Die,PS4,2016.0,Publisher,Telltale Games
66900,7 Days to Die,XOne,2016.0,Publisher,Telltale Games
66901,Company of Heroes,PC,2006.0,Publisher,THQ
66902,Assassin's Creed II,PS3,2009.0,Publisher,Ubisoft
66903,Assassin's Creed II,X360,2009.0,Publisher,Ubisoft
66904,Assassin's Creed II,PC,2010.0,Publisher,Ubisoft
66905,Grand Theft Auto V,PS3,2013.0,Publisher,Take-Two Interactive
66906,Grand Theft Auto V,X360,2013.0,Publisher,Take-Two Interactive
66907,Grand Theft Auto V,PS4,2014.0,Publisher,Take-Two Interactive
66908,Grand Theft Auto V,XOne,2014.0,Publisher,Take-Two Interactive
66909,Grand Theft Auto V,PC,2015.0,Publisher,Take-Two Interactive
66910,Far Cry 3,PS3,2012.0,Publisher,Ubisoft
66911,Far Cry 3,X360,2012.0,Publisher,Ubisoft
66912,Far Cry 3,PC,2012.0,Publisher,Ubisoft
66913,Rocket League,PS4,2016.0,Publisher,505 Games
66914,Rocket League,XOne,2016.0,Publisher,505 Games
66915,Rocket League,PC,2016.0,Publisher,505 Games
66916,Far Cry 4,PS4,2014.0,Publisher,Ubisoft
66917,Far Cry 4,XOne,2014.0,Publisher,Ubisoft
66918,Far Cry 4,PS3,2014.0,Publisher,Ubisoft
66919,Far Cry 4,X360,2014.0,Publisher,Ubisoft
66920,Far Cry 4,PC,2014.0,Publisher,Ubisoft
66921,Dying Light,PS4,2015.0,Publisher,Warner Bros. Interactive Entertainment
66922,Dying Light,XOne,2015.0,Publisher,Warner Bros. Interactive Entertainment
66923,Dying Light,PC,2015.0,Publisher,Warner Bros. Interactive Entertainment
66924,Just Cause 2,PS3,2010.0,Publisher,Square Enix
66925,Just Cause 2,X360,2010.0,Publisher,Square Enix
66926,Just Cause 2,PC,2010.0,Publisher,Square Enix
66927,Mirror's Edge,X360,2008.0,Publisher,Electronic Arts
66928,Mirror's Edge,PS3,2008.0,Publisher,Electronic Arts
66929,Mirror's Edge,PC,2009.0,Publisher,Electronic Arts
66930,Portal 2,X360,2011.0,Publisher,Valve Software
66931,Portal 2,PS3,2011.0,Publisher,Valve
66932,Portal 2,PC,2011.0,Publisher,Valve Software
66933,Tropico 4,X360,,Publisher,Kalypso Media
66934,Tropico 4,PC,2011.0,Publisher,Kalypso Media
66935,F.E.A.R.,PS3,2007.0,Publisher,Vivendi Games
66936,F.E.A.R.,X360,2006.0,Publisher,Vivendi Games
66937,Sleeping Dogs,PS3,2012.0,Publisher,Square Enix
66938,Sleeping Dogs,X360,2012.0,Publisher,Square Enix 
66939,Sleeping Dogs,PS4,2014.0,Publisher,Square Enix
66940,Sleeping Dogs,XOne,2014.0,Publisher,Square Enix
66941,Sleeping Dogs,PC,2012.0,Publisher,Square Enix 
66942,Saints Row IV,X360,2013.0,Publisher,Deep Silver
66943,Saints Row IV,PS3,2013.0,Publisher,Deep Silver
66944,Saints Row IV,PS4,2015.0,Publisher,Deep Silver
66945,Saints Row IV,XOne,2015.0,Publisher,Deep Silver
66946,Saints Row IV,PC,2013.0,Publisher,Deep Silver
66947,Half-Life 2,PC,2004.0,Publisher,Vivendi Games
66948,Half-Life 2,XB,2005.0,Publisher,Electronic Arts
66949,The Talos Principle,PS4,2015.0,Publisher,Devolver Digital
66950,DiRT 3,PS3,2011.0,Publisher,Codemasters
66951,DiRT 3,X360,2011.0,Publisher,Codemasters
66952,DiRT 3,PC,2011.0,Publisher,Codemasters
66953,Metro 2033,X360,2010.0,Publisher,THQ
66954,Metro 2033,PC,2010.0,Publisher,THQ
66955,Assassin's Creed III,PS3,2012.0,Publisher,Ubisoft
66956,Assassin's Creed III,X360,2012.0,Publisher,Ubisoft
66957,Assassin's Creed III,PC,2012.0,Publisher,Ubisoft
66958,Assassin's Creed III,WiiU,2012.0,Publisher,Ubisoft
66959,Sniper Elite 3,PS4,2014.0,Publisher,505 Games
66960,Sniper Elite 3,XOne,2014.0,Publisher,505 Games
66961,Sniper Elite 3,X360,2014.0,Publisher,505 Games
66962,Sniper Elite 3,PS3,2014.0,Publisher,505 Games
66963,Dishonored,X360,2012.0,Publisher,Bethesda Softworks
66964,Dishonored,PS3,2012.0,Publisher,Bethesda Softworks
66965,Dishonored,PC,2012.0,Publisher,Bethesda Softworks
66966,Dishonored,PS4,2015.0,Publisher,Bethesda Softworks
66967,Dishonored,XOne,2015.0,Publisher,Bethesda Softworks
66968,Dead Space,PS3,2008.0,Publisher,Electronic Arts
66969,Dead Space,X360,2008.0,Publisher,Electronic Arts
66970,Dead Space,PC,2008.0,Publisher,Electronic Arts
66971,The Binding of Isaac,PC,2012.0,Publisher,Unknown
66972,LEGO The Lord of the Rings,X360,2012.0,Publisher,Warner Bros. Interactive Entertainment
66973,LEGO The Lord of the Rings,PS3,2012.0,Publisher,Warner Bros. Interactive Entertainment
66974,LEGO The Lord of the Rings,Wii,2012.0,Publisher,Warner Bros. Interactive Entertainment
66975,LEGO The Lord of the Rings,3DS,2012.0,Publisher,Warner Bros. Interactive Entertainment
66976,LEGO The Lord of the Rings,PSV,2012.0,Publisher,Warner Bros. Interactive Entertainment
66977,LEGO The Lord of the Rings,PC,2012.0,Publisher,Warner Bros. Interactive Entertainment
66978,LEGO The Lord of the Rings,DS,2012.0,Publisher,Warner Bros. Interactive Entertainment
66979,Goat Simulator,XOne,2016.0,Publisher,Koch Media
66980,Mass Effect,X360,2007.0,Publisher,Microsoft Game Studios
66981,Mass Effect,PC,2008.0,Publisher,Electronic Arts
66982,DiRT Showdown,X360,2012.0,Publisher,Codemasters
66983,DiRT Showdown,PS3,2012.0,Publisher,Codemasters
66984,Borderlands 2,X360,2012.0,Publisher,Take-Two Interactive
66985,Borderlands 2,PS3,2012.0,Publisher,Take-Two Interactive
66986,Borderlands 2,PC,2012.0,Publisher,Take-Two Interactive
66987,Borderlands 2,PSV,2014.0,Publisher,Take-Two Interactive
66988,Trine,PC,2009.0,Publisher,Nobilis
66989,Far Cry 2,X360,2008.0,Publisher,Ubisoft
66990,Far Cry 2,PS3,2008.0,Publisher,Ubisoft
66991,Far Cry 2,PC,2008.0,Publisher,Ubisoft
66992,Oil Rush,PC,2012.0,Publisher,Iceberg Interactive
66993,Psychonauts,XB,2005.0,Publisher,THQ
66994,Psychonauts,PS2,2005.0,Publisher,Majesco Entertainment
66995,Dead Island,X360,2011.0,Publisher,Deep Silver
66996,Dead Island,PS3,2011.0,Publisher,Deep Silver
66997,Dead Island,PC,2011.0,Publisher,Deep Silver
66998,GRID 2,PS3,2013.0,Publisher,Codemasters
66999,GRID 2,X360,2013.0,Publisher,Codemasters
