Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
250785,Fallout 4,PS4,2015.0,Rating,M
250786,Fallout 4,XOne,2015.0,Rating,M
250787,Fallout 4,PC,2015.0,Rating,M
250788,Spore,PC,2008.0,Rating,E10+
250789,Left 4 Dead 2,X360,2009.0,Rating,M
250790,Left 4 Dead 2,PC,2009.0,Rating,M
250791,Left 4 Dead,X360,2008.0,Rating,M
250792,Left 4 Dead,PC,2008.0,Rating,M
250793,Tomb Raider,PS,1996.0,Rating,T
250794,Tomb Raider,PC,1996.0,Rating,M
250795,BioShock Infinite,X360,2013.0,Rating,M
250796,BioShock Infinite,PS3,2013.0,Rating,M
250797,BioShock Infinite,PC,2013.0,Rating,M
250798,Grand Theft Auto IV,X360,2008.0,Rating,M
250799,Grand Theft Auto IV,PS3,2008.0,Rating,M
250800,Grand Theft Auto IV,PC,2008.0,Rating,M
250801,BioShock,X360,2007.0,Rating,M
250802,BioShock,PS3,2008.0,Rating,M
250803,BioShock,PC,2007.0,Rating,M
250804,Ultra Street Fighter IV,PS4,2015.0,Rating,T
250805,Sid Meier's Civilization V,PC,2010.0,Rating,E10+
250806,L.A. Noire,PS3,2011.0,Rating,M
250807,L.A. Noire,X360,2011.0,Rating,M
250808,7 Days to Die,PS4,2016.0,Rating,M
250809,7 Days to Die,XOne,2016.0,Rating,M
250810,Company of Heroes,PC,2006.0,Rating,M
250811,Assassin's Creed II,PS3,2009.0,Rating,M
250812,Assassin's Creed II,X360,2009.0,Rating,M
250813,Assassin's Creed II,PC,2010.0,Rating,M
250814,Grand Theft Auto V,PS3,2013.0,Rating,M
250815,Grand Theft Auto V,X360,2013.0,Rating,M
250816,Grand Theft Auto V,PS4,2014.0,Rating,M
250817,Grand Theft Auto V,XOne,2014.0,Rating,M
250818,Grand Theft Auto V,PC,2015.0,Rating,M
250819,Far Cry 3,PS3,2012.0,Rating,M
250820,Far Cry 3,X360,2012.0,Rating,M
250821,Far Cry 3,PC,2012.0,Rating,M
250822,Rocket League,PS4,2016.0,Rating,E
250823,Rocket League,XOne,2016.0,Rating,E
250824,Rocket League,PC,2016.0,Rating,E
250825,Far Cry 4,PS4,2014.0,Rating,M
250826,Far Cry 4,XOne,2014.0,Rating,M
