Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
217347,Fallout 4,PS4,2015.0,User_Count,4228.0
217348,Fallout 4,XOne,2015.0,User_Count,1749.0
217349,Fallout 4,PC,2015.0,User_Count,7512.0
217350,Spore,PC,2008.0,User_Count,1711.0
217351,Left 4 Dead 2,X360,2009.0,User_Count,681.0
217352,Left 4 Dead 2,PC,2009.0,User_Count,2530.0
217353,Left 4 Dead,X360,2008.0,User_Count,1309.0
217354,Left 4 Dead,PC,2008.0,User_Count,3717.0
217355,Tomb Raider,PS,1996.0,User_Count,147.0
217356,Tomb Raider,PC,1996.0,User_Count,3552.0
217357,BioShock Infinite,X360,2013.0,User_Count,1647.0
217358,BioShock Infinite,PS3,2013.0,User_Count,1863.0
217359,BioShock Infinite,PC,2013.0,User_Count,7322.0
217360,Grand Theft Auto IV,X360,2008.0,User_Count,2951.0
217361,Grand Theft Auto IV,PS3,2008.0,User_Count,2833.0
217362,Grand Theft Auto IV,PC,2008.0,User_Count,2299.0
217363,BioShock,X360,2007.0,User_Count,2249.0
217364,BioShock,PS3,2008.0,User_Count,881.0
217365,BioShock,PC,2007.0,User_Count,3606.0
217366,Ultra Street Fighter IV,PS4,2015.0,User_Count,94.0
217367,Sid Meier's Civilization V,PC,2010.0,User_Count,2280.0
217368,L.A. Noire,PS3,2011.0,User_Count,1010.0
217369,L.A. Noire,X360,2011.0,User_Count,893.0
217370,7 Days to Die,PS4,2016.0,User_Count,140.0
217371,7 Days to Die,XOne,2016.0,User_Count,74.0
217372,Company of Heroes,PC,2006.0,User_Count,1128.0
217373,Assassin's Creed II,PS3,2009.0,User_Count,1202.0
217374,Assassin's Creed II,X360,2009.0,User_Count,1305.0
217375,Assassin's Creed II,PC,2010.0,User_Count,1611.0
217376,Grand Theft Auto V,PS3,2013.0,User_Count,3994.0
217377,Grand Theft Auto V,X360,2013.0,User_Count,3711.0
217378,Grand Theft Auto V,PS4,2014.0,User_Count,2899.0
217379,Grand Theft Auto V,XOne,2014.0,User_Count,764.0
217380,Grand Theft Auto V,PC,2015.0,User_Count,3756.0
217381,Far Cry 3,PS3,2012.0,User_Count,1041.0
217382,Far Cry 3,X360,2012.0,User_Count,1247.0
217383,Far Cry 3,PC,2012.0,User_Count,3183.0
217384,Rocket League,PS4,2016.0,User_Count,1290.0
217385,Rocket League,XOne,2016.0,User_Count,194.0
217386,Rocket League,PC,2016.0,User_Count,580.0
217387,Far Cry 4,PS4,2014.0,User_Count,1653.0
217388,Far Cry 4,XOne,2014.0,User_Count,383.0
217389,Far Cry 4,PS3,2014.0,User_Count,113.0
217390,Far Cry 4,X360,2014.0,User_Count,109.0
217391,Far Cry 4,PC,2014.0,User_Count,1064.0
217392,Dying Light,PS4,2015.0,User_Count,1287.0
217393,Dying Light,XOne,2015.0,User_Count,387.0
217394,Dying Light,PC,2015.0,User_Count,1295.0
217395,Just Cause 2,PS3,2010.0,User_Count,291.0
217396,Just Cause 2,X360,2010.0,User_Count,267.0
217397,Just Cause 2,PC,2010.0,User_Count,838.0
217398,Mirror's Edge,X360,2008.0,User_Count,328.0
217399,Mirror's Edge,PS3,2008.0,User_Count,362.0
217400,Mirror's Edge,PC,2009.0,User_Count,1026.0
217401,Portal 2,X360,2011.0,User_Count,997.0
217402,Portal 2,PS3,2011.0,User_Count,937.0
217403,Portal 2,PC,2011.0,User_Count,5999.0
217404,Tropico 4,X360,,User_Count,37.0
217405,Tropico 4,PC,2011.0,User_Count,359.0
217406,F.E.A.R.,PS3,2007.0,User_Count,64.0
217407,F.E.A.R.,X360,2006.0,User_Count,131.0
217408,Sleeping Dogs,PS3,2012.0,User_Count,645.0
217409,Sleeping Dogs,X360,2012.0,User_Count,468.0
217412,Sleeping Dogs,PC,2012.0,User_Count,1209.0
217413,Saints Row IV,X360,2013.0,User_Count,325.0
217414,Saints Row IV,PS3,2013.0,User_Count,278.0
217417,Saints Row IV,PC,2013.0,User_Count,1543.0
217418,Half-Life 2,PC,2004.0,User_Count,8665.0
217419,Half-Life 2,XB,2005.0,User_Count,115.0
217420,The Talos Principle,PS4,2015.0,User_Count,124.0
217421,DiRT 3,PS3,2011.0,User_Count,122.0
217422,DiRT 3,X360,2011.0,User_Count,166.0
217423,DiRT 3,PC,2011.0,User_Count,433.0
217424,Metro 2033,X360,2010.0,User_Count,351.0
217425,Metro 2033,PC,2010.0,User_Count,1472.0
217426,Assassin's Creed III,PS3,2012.0,User_Count,1307.0
217427,Assassin's Creed III,X360,2012.0,User_Count,1196.0
217428,Assassin's Creed III,PC,2012.0,User_Count,1489.0
217429,Assassin's Creed III,WiiU,2012.0,User_Count,216.0
217430,Sniper Elite 3,PS4,2014.0,User_Count,178.0
217431,Sniper Elite 3,XOne,2014.0,User_Count,68.0
217432,Sniper Elite 3,X360,2014.0,User_Count,26.0
217433,Sniper Elite 3,PS3,2014.0,User_Count,18.0
217434,Dishonored,X360,2012.0,User_Count,815.0
217435,Dishonored,PS3,2012.0,User_Count,781.0
