Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
200628,Fallout 4,PS4,2015.0,User_Score,6.5
200629,Fallout 4,XOne,2015.0,User_Score,6.2
200630,Fallout 4,PC,2015.0,User_Score,5.4
200631,Spore,PC,2008.0,User_Score,5.3
200632,Left 4 Dead 2,X360,2009.0,User_Score,8.6
200633,Left 4 Dead 2,PC,2009.0,User_Score,8.5
200634,Left 4 Dead,X360,2008.0,User_Score,7.9
200635,Left 4 Dead,PC,2008.0,User_Score,9.2
200636,Tomb Raider,PS,1996.0,User_Score,8.6
200637,Tomb Raider,PC,1996.0,User_Score,8.5
200638,BioShock Infinite,X360,2013.0,User_Score,8.5
200639,BioShock Infinite,PS3,2013.0,User_Score,8.5
200640,BioShock Infinite,PC,2013.0,User_Score,8.5
200641,Grand Theft Auto IV,X360,2008.0,User_Score,7.9
200642,Grand Theft Auto IV,PS3,2008.0,User_Score,7.5
200643,Grand Theft Auto IV,PC,2008.0,User_Score,6.6
200644,BioShock,X360,2007.0,User_Score,8.9
200645,BioShock,PS3,2008.0,User_Score,8.7
200646,BioShock,PC,2007.0,User_Score,8.5
200647,Ultra Street Fighter IV,PS4,2015.0,User_Score,5.9
200648,Sid Meier's Civilization V,PC,2010.0,User_Score,7.9
200649,L.A. Noire,PS3,2011.0,User_Score,7.7
200650,L.A. Noire,X360,2011.0,User_Score,7.8
200651,7 Days to Die,PS4,2016.0,User_Score,5.9
200652,7 Days to Die,XOne,2016.0,User_Score,5.2
200653,Company of Heroes,PC,2006.0,User_Score,8.8
200654,Assassin's Creed II,PS3,2009.0,User_Score,8.6
200655,Assassin's Creed II,X360,2009.0,User_Score,8.8
200656,Assassin's Creed II,PC,2010.0,User_Score,6.9
200657,Grand Theft Auto V,PS3,2013.0,User_Score,8.2
200658,Grand Theft Auto V,X360,2013.0,User_Score,8.1
200659,Grand Theft Auto V,PS4,2014.0,User_Score,8.3
200660,Grand Theft Auto V,XOne,2014.0,User_Score,7.9
200661,Grand Theft Auto V,PC,2015.0,User_Score,7.9
