Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
33438,Fallout 4,PS4,2015.0,numberOfObservances,167.0
33439,Fallout 4,XOne,2015.0,numberOfObservances,167.0
33440,Fallout 4,PC,2015.0,numberOfObservances,167.0
33441,Spore,PC,2008.0,numberOfObservances,58.0
33442,Left 4 Dead 2,X360,2009.0,numberOfObservances,801.0
33443,Left 4 Dead 2,PC,2009.0,numberOfObservances,801.0
33444,Left 4 Dead,X360,2008.0,numberOfObservances,204.0
33445,Left 4 Dead,PC,2008.0,numberOfObservances,204.0
33446,Tomb Raider,PS,1996.0,numberOfObservances,204.0
33447,Tomb Raider,PC,1996.0,numberOfObservances,204.0
33448,BioShock Infinite,X360,2013.0,numberOfObservances,212.0
33449,BioShock Infinite,PS3,2013.0,numberOfObservances,212.0
33450,BioShock Infinite,PC,2013.0,numberOfObservances,212.0
33451,Grand Theft Auto IV,X360,2008.0,numberOfObservances,226.0
33452,Grand Theft Auto IV,PS3,2008.0,numberOfObservances,226.0
33453,Grand Theft Auto IV,PC,2008.0,numberOfObservances,226.0
33454,BioShock,X360,2007.0,numberOfObservances,143.0
33455,BioShock,PS3,2008.0,numberOfObservances,143.0
33456,BioShock,PC,2007.0,numberOfObservances,143.0
33457,Ultra Street Fighter IV,PS4,2015.0,numberOfObservances,40.0
33458,Sid Meier's Civilization V,PC,2010.0,numberOfObservances,554.0
33459,L.A. Noire,PS3,2011.0,numberOfObservances,72.0
33460,L.A. Noire,X360,2011.0,numberOfObservances,72.0
33461,7 Days to Die,PS4,2016.0,numberOfObservances,98.0
33462,7 Days to Die,XOne,2016.0,numberOfObservances,98.0
33463,Company of Heroes,PC,2006.0,numberOfObservances,62.0
33464,Assassin's Creed II,PS3,2009.0,numberOfObservances,59.0
33465,Assassin's Creed II,X360,2009.0,numberOfObservances,59.0
33466,Assassin's Creed II,PC,2010.0,numberOfObservances,59.0
33467,Grand Theft Auto V,PS3,2013.0,numberOfObservances,269.0
33468,Grand Theft Auto V,X360,2013.0,numberOfObservances,269.0
33469,Grand Theft Auto V,PS4,2014.0,numberOfObservances,269.0
33470,Grand Theft Auto V,XOne,2014.0,numberOfObservances,269.0
33471,Grand Theft Auto V,PC,2015.0,numberOfObservances,269.0
33472,Far Cry 3,PS3,2012.0,numberOfObservances,181.0
33473,Far Cry 3,X360,2012.0,numberOfObservances,181.0
33474,Far Cry 3,PC,2012.0,numberOfObservances,181.0
33475,Rocket League,PS4,2016.0,numberOfObservances,149.0
33476,Rocket League,XOne,2016.0,numberOfObservances,149.0
33477,Rocket League,PC,2016.0,numberOfObservances,149.0
33478,Far Cry 4,PS4,2014.0,numberOfObservances,35.0
33479,Far Cry 4,XOne,2014.0,numberOfObservances,35.0
33480,Far Cry 4,PS3,2014.0,numberOfObservances,35.0
33481,Far Cry 4,X360,2014.0,numberOfObservances,35.0
33482,Far Cry 4,PC,2014.0,numberOfObservances,35.0
33483,Dying Light,PS4,2015.0,numberOfObservances,80.0
33484,Dying Light,XOne,2015.0,numberOfObservances,80.0
33485,Dying Light,PC,2015.0,numberOfObservances,80.0
33486,Just Cause 2,PS3,2010.0,numberOfObservances,186.0
33487,Just Cause 2,X360,2010.0,numberOfObservances,186.0
33488,Just Cause 2,PC,2010.0,numberOfObservances,186.0
33489,Mirror's Edge,X360,2008.0,numberOfObservances,119.0
33490,Mirror's Edge,PS3,2008.0,numberOfObservances,119.0
33491,Mirror's Edge,PC,2009.0,numberOfObservances,119.0
33492,Portal 2,X360,2011.0,numberOfObservances,453.0
33493,Portal 2,PS3,2011.0,numberOfObservances,453.0
33494,Portal 2,PC,2011.0,numberOfObservances,453.0
33495,Tropico 4,X360,,numberOfObservances,68.0
33496,Tropico 4,PC,2011.0,numberOfObservances,68.0
33497,F.E.A.R.,PS3,2007.0,numberOfObservances,24.0
33498,F.E.A.R.,X360,2006.0,numberOfObservances,24.0
33499,Sleeping Dogs,PS3,2012.0,numberOfObservances,85.0
33500,Sleeping Dogs,X360,2012.0,numberOfObservances,85.0
33501,Sleeping Dogs,PS4,2014.0,numberOfObservances,85.0
33502,Sleeping Dogs,XOne,2014.0,numberOfObservances,85.0
33503,Sleeping Dogs,PC,2012.0,numberOfObservances,85.0
33504,Saints Row IV,X360,2013.0,numberOfObservances,129.0
